customerID,accountNUMBER,customerNAME,customerADDRESS,userID,DoB,creditSCORE
206832885,5119614221,"Kennedy Heed","334 Sullivan Trail",156,1954-06-15,432
209971561,946710783,"Joelie Bravington","48796 Melby Parkway",139,1954-02-06,345
216172446,6223908903,"Dominick Holbury","48430 Elka Center",105,1933-12-10,543
218870261,6747841581,"Bartholomew Van der Krui","159 Hintze Terrace",93,1937-06-30,456
220157882,3913078185,"Kerrin Dunstone","01154 Sutteridge Street",44,1934-07-31,654
220640785,4612901983,"Waneta O'Kielt","4120 Grayhawk Circle",60,1942-01-16,567
221261457,4469975281,"Fredra Russi","9045 Dennis Junction",158,1960-05-31,765
223716446,1861296959,"Jeromy Collisson","99171 Victoria Plaza",133,1965-05-14,678
251231823,6844436661,"Ula Deinhardt","6670 Pierstorff Alley",141,1933-02-05,876
258179105,8724977209,"Bess Budgey","469 Amoth Lane",198,2002-07-11,789
267361156,6136752395,"Bell Corlett","82905 Commercial Place",172,1995-02-03,876
267399509,7533106539,"Stacee Roblin","64 Johnson Way",157,1964-03-01,765
267768553,9324696556,"Sutton Barsby","2 Sutteridge Pass",41,1956-05-11,654
273253231,773891986,"Any Lofty","34 Sherman Pass",183,1935-10-28,543
276000695,966076915,"Roselle Llewelly","53 Clemons Lane",5,1982-08-26,432
283362848,6020891763,"Tome Sleightholm","9906 Becker Road",107,1972-03-21,432
287978556,7358937856,"Haskell Bettington","39 Dorton Parkway",45,1954-06-09,321
288620387,9861003517,"Fielding Rosenwald","958 Rowland Trail",22,1933-01-11,123
297441991,9839945211,"Dalt Cartmel","151 Morrow Point",142,1976-12-26,234
300509342,4028904676,"Teressa Volcker","188 Pawling Place",152,1943-06-11,345
303861344,3059362947,"Sammy Braunter","93 1st Hill",37,1998-11-26,456
305853608,7113635016,"Garfield Sprowle","675 Hermina Terrace",131,1943-12-18,567
312767090,4176348364,"Timmie Robatham","2 Village Green Road",184,2002-05-15,678
313710773,4025782081,"Briggs Timny","17760 Corry Hill",144,1946-02-13,789
316892925,2900683149,"Clemence Choat","8 Thierer Place",54,1986-10-02,890
317428399,5206891096,"Corri Garstan","1644 Briar Crest Road",121,1972-11-30,807
317497312,9558460478,"Lucie Lording","805 Atwood Lane",195,1993-11-17,123
320105046,8247431289,"Casar Shelbourne","41 Maple Trail",169,1944-08-11,124
327033438,4615248091,"Ardine Kervin","9855 Brentwood Junction",196,1962-07-16,125
332055134,9923084353,"Angel Madgett","415 Del Mar Hill",97,1946-04-18,126
348090161,1785456016,"Loralyn Schneidar","6538 Delaware Street",130,1993-10-28,127
354939442,9586058867,"Crawford Greally","4520 Truax Park",71,2000-05-21,765
361238626,9558763438,"Dody Tsar","19845 Hansons Way",85,1956-11-01,456
365034469,4182107144,"Pearl Flowerden","763 Knutson Street",165,1958-10-29,876
366583591,2698053518,"Nesta Pickin","46388 Longview Lane",69,1944-08-31,786
366639485,4197063660,"Michal Young","7 Cody Road",3,1923-08-24,787
368811877,6206088030,"Orly Curnnok","9 Service Pass",160,1991-09-02,898
373239549,6694344007,"Leonidas Carberry","598 Schurz Circle",186,1994-03-29,654
373287970,568626680,"Karlotte Omar","0208 Pearson Crossing",68,1942-10-25,345
375309723,8203026583,"Bronson Sandbrook","38562 Stang Avenue",159,1925-02-24,677
386811289,6920825759,"Marshall Leblanc","2529 Kedzie Alley",166,1975-05-26,890
388356492,6994235106,"Guilbert Mycroft","32668 4th Parkway",132,1988-06-10,987
389518412,7767114333,"Nanni Skidmore","7 Mesta Way",39,1978-07-06,655
391893808,7878940541,"Kerstin Mallia","620 Muir Junction",128,1944-03-15,456
397305434,4384621051,"Matti Stuart","8 Mcbride Terrace",2,2003-03-26,545
411714692,849801575,"Suellen Fender","3208 Carioca Avenue",30,1986-06-16,345
413990796,4319944283,"Heidi Eles","098 Walton Pass",90,1990-05-15,675
414312680,5300169676,"Aurore Rowell","6013 Northridge Road",194,1935-09-17,678
417462616,2967494488,"Barton Muldrew","2872 John Wall Park",154,1944-07-26,654
419748781,1152007343,"Pierrette Lott","692 Knutson Lane",111,1954-11-16,345
432961322,8293020326,"Frieda Devanney","92 Scofield Hill",193,1955-03-04,654
437259463,1001497317,"Kat Dumphy","6945 Karstens Court",79,1962-01-29,234
441019013,614760399,"Noelani FitzAlan","67841 Barnett Junction",149,1927-07-23,567
441574417,8793017952,"Bearnard Brun","531 Dryden Parkway",96,1924-02-16,889
442486382,7411163082,"Coraline Dainty","42665 Schiller Trail",115,1969-03-27,777
444674670,3524553680,"Chev Crownshaw","0574 Evergreen Pass",65,2001-12-14,666
447681856,2358631949,"Olympie Acors","36220 Onsgard Hill",155,1936-12-17,555
453689644,8472305074,"Dorise Insole","403 Monument Park",15,1988-02-17,444
461566653,8690372849,"Rickert Bodesson","850 Hollow Ridge Circle",124,1943-08-20,111
468604918,8762126792,"Isaak Tight","79117 Larry Center",16,1961-06-15,222
470085575,5482399095,"Nil Lyptrade","43488 Summerview Junction",171,1950-11-28,333
476969453,427095506,"Marlena Boodell","77 Troy Place",120,1947-03-19,444
499741338,4796331581,"Toddy Hourihan","9641 Sheridan Plaza",8,1951-11-13,555
506865194,5258665267,"Britney Probets","9503 Haas Trail",56,1997-03-03,666
513651612,8863368287,"Conway Ramas","570 Vahlen Terrace",36,1937-07-10,777
523302001,5306939503,"Lorene Elwell","07808 Paget Road",6,1981-02-28,888
525269537,9636766452,"Lanni Comins","5323 Sutteridge Alley",25,1967-04-19,766
525814395,4274777472,"Nettle Royce","96 Ludington Park",104,1979-02-11,655
527622624,3709491517,"Goldarina Coppock.","3858 Mandrake Avenue",188,1985-09-21,234
535221306,394609700,"Imojean Vasyutichev","6957 Roth Street",52,1971-03-24,123
541763991,2530817308,"Allyn Ford","835 Muir Pass",140,1966-04-30,321
548351198,5257199610,"Nara Ternott","207 Oxford Court",148,1955-01-18,234
551381916,8697764033,"Dominic Siggins","515 Old Shore Parkway",99,1982-10-15,432
551943710,8437595045,"Cherin Roper","0 Pleasure Way",151,1991-04-08,345
554114379,3830520743,"Jude Hodcroft","2562 Schmedeman Alley",117,1955-12-09,543
563811148,9098896774,"Eddie Belfelt","2917 Independence Pass",136,1947-04-03,456
569316931,4061305026,"Zaria Premble","68 Towne Court",67,1946-10-06,654
578825969,309796342,"Westley Melin","54204 Bowman Hill",76,1989-09-03,654
579422186,6662075205,"Lu Dovington","5146 Gerald Circle",167,1926-12-31,567
580426017,4810635317,"Misty Shemmans","34 Graedel Parkway",173,1967-02-25,765
590585789,9967559608,"Quinn Molines","0947 Coolidge Drive",143,1981-12-09,678
591161477,5447808081,"Katha Uppett","2606 Warrior Point",101,1965-07-09,876
591862463,1182206417,"Adriaens Irlam","17 Cordelia Crossing",53,1999-09-02,780
593163104,8883593758,"Ryann Beecham","0425 Novick Point",134,2002-10-29,807
594050079,3610517891,"Binni Bail","9 Doe Crossing Court",145,1944-07-30,876
597824745,4877044116,"Stan Colqueran","3520 Maywood Plaza",4,1944-08-20,678
603260161,3632089221,"Sawyer Samms","29876 Eastlawn Plaza",29,1992-11-26,765
612216849,5515895223,"Levon Batch","44 Darwin Drive",81,1975-07-10,567
623063135,2617348962,"Juliann Wain","1 Carpenter Plaza",177,1996-09-12,654
627416580,1916047335,"Damita Cowerd","0428 Gale Way",64,1941-09-20,456
652656413,5444653206,"Candis Nyssen","73426 Morningstar Parkway",182,1935-06-10,543
655485573,6274910573,"Tansy Ivamy","93 Waubesa Circle",176,1951-10-12,345
656423466,7762523219,"Abdel Stansell","58 Larry Terrace",113,1956-07-09,432
665185391,452615062,"Eleni Woolforde","54098 Sachs Hill",21,1988-01-06,234
670438333,3533632636,"Tildie Strafford","919 Wayridge Road",88,2000-10-04,322
674648032,8781237642,"Maynord Levison","20 Maple Wood Place",191,1947-01-01,234
678681320,1283859629,"Harv Bilson","47 Green Point",7,2000-08-04,321
679893053,193196735,"Jamison Littlecote","7853 Talmadge Plaza",47,1958-09-30,123
680789873,7767232395,"Jackquelin Raigatt","71907 Farwell Way",87,1986-05-16,345
681066175,5841114220,"Shantee Proom","12852 Bonner Road",146,1924-12-09,435
681964363,1231487976,"Dunstan Kemm","40 American Point",118,1957-09-22,112
685430769,9307876649,"Siward Nesfield","44 Anzinger Junction",73,1971-01-28,144
687441877,4789034836,"Dionysus De Bernardis","8368 Fair Oaks Street",63,1999-08-01,123
697634647,5991859957,"Husein Lutty","717 Sommers Crossing",119,1998-09-10,144
735203057,2814415735,"Artur Bellino","89 Village Terrace",26,1927-07-14,145
735904573,6592366508,"Ingaborg Emmer","27522 Bellgrove Trail",179,1929-04-18,142
736465031,2152800494,"Ennis Rama","69983 David Street",162,1958-01-20,456
739869787,3780745526,"Gabriellia Barfford","07 Vidon Parkway",77,1944-10-31,654
752559249,1382845251,"Malorie Noye","4 Continental Way",84,1982-01-06,575
757519947,2783462230,"Amitie Crayke","8156 Caliangt Pass",10,1987-04-01,535
761326351,9822791682,"Antonino Cauderlie","6 Fremont Hill",74,1952-02-18,667
762526741,840051883,"Cullin Moreing","91 Pennsylvania Parkway",58,1985-02-23,543
766859631,4075896463,"Caldwell Honnan","4 Chinook Pass",98,1940-12-30,566
769300780,2709955628,"Normy Brodest","0465 Loomis Lane",114,1950-11-13,876
774720311,7755736644,"Marian Philp","01176 Karstens Trail",95,2003-03-13,554
776603909,2661472991,"Guinna Hourican","6860 Miller Crossing",116,1982-05-30,345
779833358,2461189099,"Terry Castrillo","758 Rutledge Place",153,1960-11-04,654
782080197,9378310753,"Greggory Greenacre","3 Lunder Lane",33,1980-02-25,221
783774214,8855013963,"Christian Sambell","19 Marquette Junction",197,1959-06-08,345
786522159,2802360795,"Berty Oswell","556 Comanche Pass",123,1931-12-09,675
789355218,2656966221,"Rosco Andino","6 Killdeer Avenue",127,1997-06-01,344
796021465,2418595536,"Jesselyn Boarer","56606 Hayes Center",14,1986-09-11,722
799786860,5960885352,"Amble Village","69928 Charing Cross Pass",164,1974-04-12,123
804618742,1911857258,"Aggie Rowlstone","00248 Stuart Park",72,1939-06-21,234
807939761,2039733450,"Bamby Vedeshkin","872 South Circle",46,1938-08-07,345
814093424,1632321483,"Kania Sidnell","98 Kedzie Court",34,1967-10-04,456
834068702,8494123696,"Nevin Barmby","05125 Jenna Hill",110,2002-12-08,567
836010933,4495347470,"Jada Lawty","22169 Dexter Place",106,1955-03-31,678
836683513,3504146699,"Freddi Elwin","9 Messerschmidt Trail",31,1933-04-11,789
854120410,1284081761,"Darrell Maggi","76475 Reindahl Pass",163,1949-12-21,876
857144718,1513317180,"Keely Irnis","179 Pennsylvania Junction",187,1988-10-21,765
859212709,5195457085,"Mechelle Pietraszek","40522 Thompson Place",89,1940-05-17,654
859463181,9230826022,"Jillayne Kilgrew","45402 Mallory Court",147,1966-08-11,543
865637706,8427244908,"Maris Habben","06773 Alpine Center",112,1975-03-29,432
867525651,5241810722,"Thadeus Mabley","094 Derek Alley",55,1935-06-13,321
875786246,809898071,"Christoper Yearron","3 Gerald Park",75,1925-08-26,122
876158955,1705300952,"Annadiane Chetwin","76 Granby Center",92,1968-09-14,468
876705240,3794106148,"Frankie Charlot","49 Clemons Avenue",13,1984-08-03,543
892816804,4669804987,"Robinette Matterson","17 Warbler Center",103,1958-09-06,457
901380833,8044876642,"Dasie Pelerin","041 Rutledge Road",78,1999-12-03,876
910633806,5465680636,"Kirsteni Butfield","3 Doe Crossing Trail",28,1948-12-12,543
911802004,3402326272,"Tamra McGaugan","344 Eagan Way",125,1932-05-14,233
916164482,4797760400,"Alessandra Orrell","8 Londonderry Point",11,1950-04-25,778
919825484,7835658313,"Elsbeth Iron","50 Caliangt Pass",178,1924-03-15,654
930103895,7492918607,"Ely Fielding","97481 Crowley Way",185,1998-11-08,322
932408227,3036043276,"Gwenneth Sackur","9169 Straubel Hill",150,1942-11-18,456
943857178,5205937602,"Josey Tarbox","122 Reinke Parkway",161,2002-07-10,784
946078883,4033172351,"Devon Forseith","85651 Glacier Hill Drive",192,1934-06-22,136
957767223,2262983976,"Katine Alywen","16763 Homewood Junction",135,1936-07-22,168
957871636,9059138694,"Davis Charman","965 4th Pass",109,1948-12-10,190
958122821,8377727315,"Leda Eatherton","86 Dottie Park",12,1940-10-12,807
961052048,8015426774,"Allan Doers","18750 Westerfield Trail",170,1977-07-21,804
961468053,7709785131,"Rica MacClure","5520 Tomscot Road",20,1985-05-09,700
970023589,9712298159,"Rhody Huby","97222 Haas Way",27,1930-06-15,532
970357068,170108899,"Cletis Cappell","0 Center Drive",62,1961-06-01,234
974254291,5564664868,"Jaye Moules","8 Forest Run Place",86,1985-09-21,567
983457633,8377181924,"Kori Bernli","89051 Shelley Place",189,1926-07-10,544
984462204,376925450,"Daryl Heinrici","98969 Pond Street",38,1997-05-19,123
991861651,4197956975,"Olympia Allington","471 Dwight Point",40,1942-12-16,234
992196121,1937694577,"Carmina Bangs","3483 Melody Place",48,1924-07-30,345
